Customer ID,Product Category,Product Price,Quantity,Total Purchase Amount
34857,Home,104,2,3319
34857,Books,252,4,1038
34857,Electronics,284,4,402
34857,Books,60,2,1383
34857,Electronics,147,4,992
34857,Clothing,261,2,2408
34857,Books,137,2,2428
21801,Electronics,179,3,676
21801,Electronics,266,1,1337
21801,Electronics,228,4,3988
21801,Clothing,290,5,246
11769,Clothing,231,4,1054
11769,Clothing,51,4,2187
22193,Electronics,387,5,3920
22193,Home,116,1,1422
22193,Clothing,210,4,3215
22193,Electronics,94,4,3764
22193,Electronics,224,4,2130
7340,Books,496,3,4224
7340,Home,121,4,1812
7340,Clothing,214,4,407
7340,Electronics,352,5,4912
7340,Electronics,346,3,2165
7340,Home,255,1,306
31538,Home,341,4,4847
31538,Electronics,255,1,3160
31538,Clothing,499,4,4477
31538,Books,180,2,4994
31538,Home,233,3,3362
31538,Home,491,4,1475
31538,Books,224,4,3440
33511,Books,333,5,4456
33511,Electronics,144,1,3877
33511,Books,139,2,744
33511,Clothing,28,1,3579
33511,Electronics,467,4,3142
33511,Electronics,229,3,4086
33511,Books,66,3,2273
5952,Home,107,3,1192
5952,Electronics,75,2,1947
5952,Electronics,220,4,2840
5952,Electronics,19,2,1354
5952,Home,219,2,4129
48449,Home,218,1,2725
48449,Clothing,71,5,4657
48449,Clothing,57,2,3574
48449,Clothing,278,4,4938
48449,Electronics,127,1,958
48449,Electronics,91,3,1899
17203,Electronics,259,3,3809
17203,Clothing,495,4,3057
17203,Home,160,4,5300
17203,Books,83,2,1952
17203,Home,445,1,3218
17203,Clothing,400,4,4683
2695,Home,78,2,4036
2695,Books,220,5,3629
2695,Books,88,4,3438
2695,Books,398,4,1999
2695,Clothing,232,4,2444
2695,Home,306,5,650
2695,Books,336,5,3190
2695,Electronics,294,3,953
15079,Home,281,1,4685
15079,Electronics,413,4,3445
15079,Electronics,121,5,3209
15079,Electronics,490,2,2103
15079,Home,140,4,2618
15079,Books,179,4,5051
15079,Books,256,1,2322
21450,Books,269,4,2370
21450,Books,498,1,5132
21450,Electronics,174,2,663
21450,Books,470,1,4846
21450,Books,72,4,4038
21450,Home,267,5,4134
21450,Home,115,4,1310
11738,Home,73,2,4855
11738,Clothing,208,4,2119
11738,Books,131,4,412
11738,Clothing,102,1,3927
15595,Books,166,3,4845
15595,Electronics,301,3,2816
15595,Home,372,2,2514
15595,Clothing,314,4,3740
15595,Books,356,3,2008
15595,Books,452,5,4409
15595,Books,389,5,3028
44311,Books,413,2,4641
44311,Clothing,147,3,4967
44311,Home,384,3,2725
44311,Home,427,2,3013
44311,Books,83,3,979
44311,Electronics,487,3,4630
44311,Books,260,4,3869
44311,Books,362,4,4516
31852,Books,446,2,1685
31852,Electronics,407,2,1265
31852,Home,319,4,4252
46881,Electronics,455,2,2574
46881,Electronics,299,1,4362
46881,Clothing,120,4,3856
46881,Home,123,1,2512
46881,Electronics,148,5,3838
14652,Clothing,377,3,3768
14652,Home,97,1,1416
14652,Clothing,498,2,3245
14652,Clothing,94,1,2406
14652,Clothing,213,2,3064
14652,Books,320,5,2185
14652,Books,449,2,1786
14652,Clothing,325,5,3049
14652,Electronics,273,5,2333
14652,Clothing,421,4,4565
14652,Home,381,3,244
835,Electronics,306,1,5281
835,Clothing,169,5,3426
835,Books,370,3,1885
835,Electronics,494,1,3909
835,Home,31,2,2261
26275,Electronics,93,2,4814
26275,Clothing,371,3,4765
26275,Home,354,3,1686
26275,Electronics,17,1,3587
37795,Electronics,348,3,967
37795,Electronics,17,4,5046
37795,Home,452,4,5011
37795,Books,78,3,1831
37795,Clothing,456,2,541
37795,Clothing,208,1,648
4553,Clothing,89,3,3331
4553,Clothing,428,5,4847
4553,Books,112,5,527
4553,Books,489,3,4557
4553,Clothing,99,4,3172
4553,Clothing,243,5,1259
6656,Clothing,150,4,693
6656,Electronics,222,4,3694
6656,Electronics,287,1,2405
6656,Clothing,253,1,993
6656,Books,438,5,3592
6656,Home,454,4,4844
6656,Clothing,277,4,1950
45727,Clothing,408,5,2081
45727,Books,62,4,3728
45727,Home,254,5,3867
45727,Clothing,404,5,2533
45727,Books,139,2,1650
45727,Home,281,4,3901
45727,Home,346,2,731
45727,Home,166,5,1822
5243,Books,449,3,2199
5243,Home,408,4,1743
5243,Clothing,477,1,5289
5243,Books,34,4,1457
5243,Books,180,3,1157
5243,Clothing,78,3,2314
32153,Clothing,17,3,4562
32153,Electronics,17,3,3340
32153,Electronics,46,2,3099
32153,Electronics,255,5,4586
46689,Home,282,3,5116
46689,Home,413,5,2930
46689,Books,403,4,3535
46689,Home,351,1,3096
46689,Electronics,489,3,583
46689,Home,460,5,4437
46689,Books,151,2,2935
46689,Electronics,201,3,513
46689,Clothing,142,3,2974
46689,Electronics,277,1,2894
8034,Books,411,5,4445
8034,Electronics,24,5,4713
8034,Books,392,5,2933
8034,Clothing,274,5,847
8034,Home,321,2,1894
8034,Clothing,378,4,3441
8034,Electronics,397,2,2288
8034,Home,400,1,2538
49818,Home,455,2,4788
49818,Clothing,18,3,3761
49818,Books,70,5,4804
49818,Electronics,271,1,5101
49818,Clothing,249,4,1399
49818,Books,50,4,833
49818,Books,91,4,3993
49818,Books,25,2,4608
37983,Clothing,106,4,914
37983,Home,401,5,5033
37983,Home,351,1,659
13184,Home,243,4,4458
13184,Books,141,1,2367
13184,Electronics,390,4,4458
13184,Electronics,453,3,4199
13184,Clothing,327,4,2370
13184,Clothing,465,5,994
23699,Electronics,236,2,2118
23699,Books,289,5,2467
23699,Books,312,1,2456
23699,Clothing,72,3,523
23699,Electronics,260,4,3050
23699,Electronics,203,1,750
23699,Electronics,222,2,3340
23699,Electronics,135,2,2261
23699,Home,152,5,3778
15531,Books,227,5,1446
15531,Clothing,60,3,1445
15531,Home,59,4,1190
33338,Books,276,3,1312
33338,Home,301,4,2562
33338,Home,170,3,3623
33338,Electronics,493,4,3576
33338,Home,201,3,3403
25314,Books,461,5,2565
25314,Clothing,89,4,1400
25314,Electronics,186,4,2351
25314,Home,456,2,1374
25314,Clothing,119,4,3915
8086,Electronics,336,4,2104
8086,Clothing,278,1,2935
8086,Electronics,379,1,1735
8086,Electronics,312,5,2482
8086,Clothing,46,3,3289
8086,Clothing,386,4,1356
8086,Books,205,5,1445
8086,Home,348,4,3068
8086,Books,36,1,1411
8086,Books,403,1,3456
46717,Home,126,3,4394
46717,Electronics,319,4,4076
46717,Clothing,38,1,5160
37332,Books,454,3,5176
37332,Books,140,1,3951
37332,Electronics,421,3,3282
37332,Clothing,367,2,4004
37332,Home,323,1,4237
37332,Home,128,3,3765
37332,Books,256,5,4771
37332,Books,177,2,2044
37332,Clothing,209,1,3454
37332,Electronics,88,1,2825
48175,Home,50,1,1970
48175,Books,473,5,2246
48175,Books,485,5,2140
48175,Clothing,83,4,887
48175,Home,373,3,4980
48175,Electronics,334,2,937
48175,Books,77,3,4803
48175,Home,359,3,2981
10481,Books,229,2,4609
10481,Home,91,3,4914
10481,Electronics,341,3,1920
10481,Clothing,311,5,1015
10481,Electronics,313,2,4792
10481,Home,402,3,4702
42500,Clothing,108,3,2936
42500,Home,97,2,3885
42500,Electronics,18,5,642
42500,Home,186,2,3319
42500,Books,62,4,865
42500,Electronics,374,3,1314
42500,Clothing,151,1,5167
42500,Electronics,105,5,3056
42500,Clothing,93,5,4369
45465,Books,175,1,3992
45465,Books,296,5,1925
45465,Electronics,199,1,3378
45465,Clothing,132,1,4083
45465,Home,487,3,747
45465,Books,179,1,2932
45465,Home,113,2,1573
45465,Home,35,1,3543
18433,Books,496,3,1419
18433,Books,419,2,2318
18433,Books,173,4,2812
12338,Electronics,24,1,3418
12338,Electronics,380,2,4075
12338,Clothing,125,1,4000
12338,Clothing,427,2,3723
12338,Electronics,274,1,3680
12338,Clothing,440,3,3668
9606,Books,475,2,1952
9606,Electronics,493,4,1775
9606,Books,63,3,2278
9606,Clothing,33,3,4799
44513,Electronics,269,4,1190
44513,Clothing,195,2,4708
44513,Books,394,3,4583
7048,Electronics,25,1,1004
7048,Clothing,148,1,333
7048,Clothing,396,5,1480
7048,Home,213,1,3451
7805,Electronics,261,1,550
7805,Home,275,5,2592
7805,Clothing,242,2,2882
7805,Books,384,5,5070
7805,Electronics,140,5,2970
7805,Clothing,207,4,4743
7805,Books,209,1,1023
7805,Home,239,5,824
10762,Books,196,5,1723
10762,Books,275,4,3001
10762,Electronics,181,1,655
10762,Books,100,5,577
10762,Home,452,1,2045
10762,Clothing,253,5,1535
10762,Electronics,45,5,3204
10762,Home,119,2,1517
10762,Home,51,2,827
4272,Home,101,1,2858
4272,Clothing,364,4,1689
4272,Electronics,133,5,3656
4272,Clothing,114,4,2517
11069,Electronics,328,3,1431
11069,Home,57,2,2322
11069,Clothing,71,3,139
11069,Home,240,5,1201
11069,Home,15,3,488
46183,Books,347,5,3300
46183,Books,269,5,5106
46183,Home,168,2,4185
46183,Electronics,58,2,452
46183,Books,294,3,1268
46183,Home,276,4,1944
13534,Books,404,3,844
13534,Books,249,4,2553
13534,Books,406,2,361
13534,Books,218,3,2963
13534,Clothing,65,4,1340
13534,Clothing,186,5,4151
13534,Books,243,2,442
13534,Clothing,483,2,2449
1298,Home,426,4,1155
1298,Clothing,123,3,341
1298,Books,354,2,4362
1298,Home,33,5,4028
1298,Home,454,3,3175
1298,Books,425,1,5281
1298,Home,186,1,2851
5616,Home,353,4,4287
5616,Books,233,4,569
5616,Electronics,458,4,4588
5616,Electronics,310,2,3008
5616,Books,168,3,4218
5616,Electronics,382,2,4320
38546,Books,127,5,4878
38546,Electronics,109,2,2542
38546,Electronics,42,5,286
38546,Books,355,2,2267
35164,Home,314,1,2455
35164,Home,400,2,971
35164,Books,435,3,4681
35164,Electronics,109,3,5144
35164,Electronics,198,1,4362
35164,Home,314,1,3782
35164,Books,398,1,558
35164,Home,96,2,2788
35164,Clothing,13,1,1447
35164,Home,96,5,3829
29493,Books,355,2,1803
29493,Clothing,268,2,2031
29493,Home,29,4,3439
29493,Home,164,2,2065
29493,Home,248,1,2489
20394,Electronics,300,1,1659
20394,Home,160,5,2528
20394,Books,411,2,4383
20394,Clothing,16,2,3604
20394,Electronics,447,5,2403
25141,Books,389,5,5136
25141,Electronics,225,3,4280
25141,Books,488,3,4504
25141,Home,322,1,568
25141,Home,165,1,3207
28484,Books,36,5,2258
28484,Clothing,490,4,3326
28484,Clothing,396,3,4956
28484,Electronics,88,3,4753
28484,Electronics,107,5,1915
28484,Books,312,4,2044
28484,Clothing,292,5,4827
19647,Home,103,1,3699
19647,Books,254,4,2347
19647,Books,338,4,3427
19647,Electronics,285,5,4139
19647,Home,279,5,2426
19647,Electronics,293,3,4259
41953,Clothing,279,3,5319
41953,Electronics,125,3,984
41953,Electronics,290,5,4485
41953,Clothing,500,1,2055
41953,Books,33,3,4198
41953,Home,122,4,1626
34666,Electronics,71,5,2825
34666,Books,89,1,1625
34666,Books,286,4,446
48259,Books,158,4,2750
48259,Clothing,115,1,1133
48259,Home,97,1,1744
48259,Home,115,1,4807
48259,Clothing,78,4,4620
48259,Electronics,22,2,1796
38905,Clothing,76,2,4739
38905,Clothing,66,1,2987
38905,Books,301,1,1607
38905,Clothing,102,2,3139
38905,Books,190,2,1017
38905,Electronics,198,1,2349
353,Clothing,383,5,5129
353,Clothing,93,5,712
353,Books,263,1,3961
353,Electronics,424,5,1871
353,Clothing,252,5,4250
353,Books,15,5,2528
353,Electronics,292,2,1047
2159,Clothing,377,1,1286
2159,Electronics,41,3,5286
2159,Books,478,4,1776
2159,Books,199,2,2004
2159,Clothing,70,3,2948
2159,Electronics,497,5,3015
6704,Home,387,4,4237
6704,Electronics,371,5,1624
6704,Home,494,4,2940
6704,Clothing,107,2,3630
6704,Home,93,1,916
6704,Electronics,83,3,3948
6704,Books,40,2,562
6704,Home,176,1,2682
6704,Clothing,54,5,2808
32343,Clothing,50,3,4161
32343,Clothing,493,3,4756
32343,Home,490,2,1887
32343,Home,366,2,1120
32343,Books,240,4,1149
15543,Books,432,3,1088
15543,Clothing,471,4,627
15543,Books,212,2,2272
15543,Home,13,5,4009
29419,Home,11,4,747
29419,Clothing,78,1,4430
29419,Electronics,104,1,4913
29419,Books,93,2,1568
29419,Books,127,3,610
29419,Home,339,5,4675
42327,Electronics,364,1,4444
42327,Home,426,3,4364
42327,Books,224,2,4760
42327,Clothing,281,1,4358
42327,Electronics,201,4,2340
42327,Clothing,88,4,2358
42327,Books,449,3,2303
19293,Clothing,450,3,3518
19293,Clothing,195,2,1898
19293,Home,299,1,3567
24863,Electronics,423,3,2548
24863,Clothing,270,2,3596
24863,Clothing,102,3,1001
24863,Books,298,4,2767
24863,Electronics,462,4,1952
24863,Home,51,3,2521
42859,Books,401,1,2643
42859,Home,180,2,2776
42859,Home,144,3,2393
42859,Books,21,3,1065
42859,Books,458,5,1643
42859,Books,125,2,2355
42859,Home,472,4,4770
42859,Home,42,5,2750
42859,Electronics,90,3,2264
1364,Electronics,174,3,4620
1364,Clothing,319,5,4088
1364,Home,220,2,4505
1364,Home,375,3,2504
1364,Clothing,488,5,2082
1364,Home,197,5,5107
1364,Electronics,266,4,3081
1364,Electronics,64,3,2515
3494,Home,419,2,4150
3494,Clothing,451,5,2264
3494,Electronics,302,2,344
3494,Clothing,451,4,3641
3494,Books,345,5,5143
3494,Electronics,419,3,1839
3494,Books,13,3,4017
4807,Home,30,3,519
4807,Electronics,59,4,4512
4807,Books,273,4,4968
4807,Books,41,1,5294
4807,Clothing,443,3,1168
4807,Books,418,3,823
4807,Clothing,309,1,3552
11116,Electronics,330,1,2944
11116,Home,432,2,5169
11116,Home,351,4,4522
11116,Books,248,4,5297
11116,Home,219,2,2085
11116,Home,324,3,4744
1975,Books,166,3,4970
1975,Clothing,419,4,2460
1975,Electronics,149,2,2368
1975,Electronics,296,2,1214
1975,Electronics,43,2,2727
1975,Books,241,5,1724
1975,Books,428,3,2315
27690,Books,54,5,735
27690,Books,488,2,420
27690,Home,216,5,3200
27690,Electronics,214,3,3864
27690,Books,178,5,905
27690,Books,112,4,699
39126,Electronics,270,4,2929
39126,Home,428,1,5278
39126,Books,77,1,3754
10016,Clothing,204,4,1863
10016,Clothing,369,5,4183
10016,Clothing,140,2,4766
10016,Home,137,5,4420
37527,Electronics,194,2,3290
37527,Electronics,41,2,4035
37527,Books,386,1,2417
37527,Home,13,1,1188
37527,Books,117,4,1813
37527,Home,113,3,4210
37527,Electronics,490,1,3182
37527,Electronics,439,2,1137
37527,Electronics,394,2,2082
48220,Clothing,244,1,4133
48220,Home,188,5,1638
48220,Clothing,473,5,2083
21954,Electronics,494,2,3644
21954,Clothing,12,3,3889
21954,Home,303,1,2525
21954,Home,389,4,830
21954,Clothing,218,2,3199
21954,Home,103,5,971
21954,Books,481,3,2984
46055,Books,475,3,4180
46055,Home,480,3,3702
46055,Books,403,5,4825
46055,Home,432,1,4732
10125,Electronics,458,2,4922
10125,Electronics,140,2,3880
10125,Books,241,3,4449
22074,Electronics,390,1,2766
22074,Electronics,178,1,2992
22074,Electronics,112,5,4693
22074,Clothing,420,2,4502
22074,Home,23,5,3247
22074,Electronics,15,1,1641
22074,Clothing,458,2,302
22074,Books,229,5,4086
22074,Electronics,474,4,3094
35531,Home,466,2,3003
35531,Electronics,436,4,3070
35531,Books,91,1,1941
35531,Electronics,180,3,4981
35531,Clothing,366,2,4516
1193,Books,84,3,1190
1193,Books,323,3,2814
1193,Books,189,3,4757
1193,Clothing,194,4,2318
1193,Home,302,3,506
1193,Electronics,280,5,4509
1193,Books,272,4,381
1193,Home,321,1,1179
1193,Clothing,131,3,2013
1193,Books,95,1,2206
21703,Books,423,2,2593
21703,Books,229,4,4856
21703,Books,12,4,3569
21703,Electronics,481,1,3815
21703,Books,388,3,2181
21703,Electronics,82,2,4041
27337,Electronics,411,5,863
27337,Electronics,404,5,1444
27337,Home,269,3,3569
27337,Books,213,2,1521
27337,Books,96,2,2170
27337,Home,299,4,609
27337,Clothing,368,5,537
10458,Clothing,77,2,3097
10458,Home,318,4,3610
10458,Electronics,203,4,744
10458,Home,148,4,1076
10458,Electronics,323,1,2338
10458,Electronics,288,1,3156
10458,Books,226,1,2539
15399,Clothing,367,4,4031
15399,Home,397,1,3294
15399,Clothing,411,2,5071
15399,Electronics,485,2,2500
15399,Home,268,5,4138
15399,Home,12,2,2740
15399,Electronics,139,4,2234
15399,Electronics,229,3,3581
18400,Electronics,312,2,3857
18400,Electronics,482,1,1796
18400,Electronics,436,3,234
18400,Electronics,179,4,4208
18400,Clothing,479,4,720
18400,Home,61,4,3206
18400,Clothing,370,1,2292
48711,Books,102,5,2025
48711,Electronics,159,1,2386
48711,Electronics,455,2,915
48711,Books,87,5,2424
48711,Clothing,230,4,3985
48711,Home,285,2,5098
48711,Home,306,5,4947
48711,Clothing,258,4,567
48711,Clothing,326,2,3776
7090,Electronics,149,1,3941
7090,Clothing,142,4,2226
7090,Electronics,56,1,3612
7090,Home,434,3,4665
7090,Electronics,217,5,4795
7090,Home,26,2,2258
24534,Books,358,4,3253
24534,Clothing,259,3,4759
24534,Clothing,386,4,5047
24534,Electronics,87,1,2247
24534,Books,372,5,3710
24534,Clothing,453,2,1722
2521,Books,485,3,1216
2521,Electronics,404,5,3059
2521,Electronics,436,3,1750
2521,Electronics,158,4,5153
2521,Electronics,66,4,891
2521,Electronics,21,1,1632
2521,Clothing,408,4,1751
2521,Home,241,3,2482
2521,Electronics,361,4,2997
5837,Home,40,1,1653
5837,Electronics,445,5,3600
5837,Clothing,94,3,4067
5837,Books,410,5,4105
5837,Home,51,3,2024
5837,Books,210,2,3326
4487,Electronics,64,2,3826
4487,Clothing,368,5,1786
4487,Books,119,5,1864
4487,Electronics,348,5,1580
4487,Electronics,408,2,4181
28778,Electronics,154,3,4835
28778,Books,164,2,4348
28778,Electronics,139,2,955
28778,Electronics,488,3,872
28778,Books,168,4,1631
28778,Clothing,371,3,4747
28778,Home,454,2,758
26860,Home,284,5,3978
26860,Books,44,2,3407
26860,Electronics,28,2,4131
26860,Home,269,2,2387
23168,Clothing,110,1,4765
23168,Clothing,234,3,631
23168,Home,296,3,3679
23168,Home,71,2,4309
23168,Electronics,280,5,1038
27357,Home,176,1,4967
27357,Electronics,492,2,1817
27357,Home,55,1,4847
27357,Home,78,2,3274
27357,Electronics,418,2,4016
27357,Books,152,3,740
27357,Clothing,326,1,3567
27357,Books,287,1,3232
6795,Books,127,2,3519
6795,Clothing,366,2,2092
6795,Electronics,228,3,2600
6795,Books,460,3,1245
6795,Clothing,286,4,834
6795,Books,156,2,4544
6795,Books,213,5,4900
6795,Electronics,493,4,1886
6795,Home,51,1,3584
6320,Books,499,5,1774
6320,Books,402,1,3561
6320,Books,27,2,2906
6320,Books,336,1,1591
6320,Clothing,488,4,1342
6320,Clothing,144,5,1081
6320,Home,101,4,3386
6320,Home,82,2,871
6320,Clothing,314,5,3633
49031,Clothing,483,2,1320
49031,Home,477,1,3508
49031,Electronics,379,3,4604
49031,Clothing,268,2,2983
49031,Clothing,437,4,4705
9798,Home,293,1,2869
9798,Books,376,1,3440
9798,Electronics,342,2,3645
9798,Books,81,4,2540
9798,Clothing,271,2,3903
9798,Electronics,167,4,858
9798,Home,157,4,3043
9798,Electronics,193,3,2600
14425,Books,15,3,4165
14425,Electronics,266,5,2401
14425,Books,203,1,3663
14425,Books,246,5,3731
35940,Books,94,1,3719
35940,Home,249,3,5081
35940,Electronics,39,4,4041
4098,Home,16,4,4272
4098,Books,479,5,1043
14875,Electronics,295,5,4353
14875,Electronics,301,3,3730
14875,Clothing,469,5,1637
33471,Home,442,2,2889
33471,Home,398,1,3621
33471,Books,465,5,4985
33471,Electronics,90,2,2018
33471,Home,234,4,1074
33471,Clothing,421,1,2603
33471,Clothing,164,3,1568
33471,Home,370,1,2972
33471,Books,297,3,4544
6003,Clothing,66,1,1178
41194,Electronics,460,3,1423
41194,Home,173,4,2455
41194,Electronics,350,3,2641
41194,Home,237,4,5145
41194,Home,277,3,2342
41194,Electronics,215,4,4805
41194,Electronics,212,4,3686
41194,Home,74,5,3417
38837,Electronics,452,3,1147
38837,Electronics,344,2,4394
38837,Electronics,14,4,3574
38837,Books,94,1,1768
22451,Home,269,4,433
22451,Home,467,3,1979
22451,Clothing,108,1,4297
22451,Books,87,3,646
22451,Books,107,2,510
22451,Home,397,1,1358
22451,Electronics,205,1,1715
22451,Clothing,363,2,491
22451,Books,350,2,899
18896,Books,244,4,1478
18896,Clothing,325,4,4790
18896,Home,200,1,1697
8937,Clothing,345,4,1487
8937,Home,37,5,3678
30778,Electronics,280,3,1237
30778,Home,193,5,4969
30778,Books,84,4,3074
48283,Books,341,3,2694
48283,Books,290,1,3134
48283,Electronics,278,3,3243
48283,Books,187,3,2630
48283,Home,132,4,2650
48313,Electronics,348,5,5039
48313,Home,407,5,2898
48313,Clothing,284,3,960
7832,Books,45,2,4417
7832,Clothing,120,3,2345
7832,Electronics,110,4,3334
7832,Home,42,4,425
7832,Books,284,3,1514
7832,Home,481,4,4308
7832,Clothing,360,2,3919
19150,Books,334,2,2237
19150,Books,204,3,1319
19150,Electronics,316,3,4819
19150,Clothing,387,4,2118
35194,Clothing,154,5,528
35194,Books,49,3,1805
35194,Home,258,2,545
35194,Books,288,2,4073
35194,Books,479,2,3296
35194,Clothing,457,3,4281
28994,Clothing,40,1,2994
28994,Clothing,302,4,3380
28994,Electronics,95,4,5076
28994,Clothing,400,4,661
28994,Books,21,3,5091
28994,Electronics,101,5,2773
14579,Books,182,3,2917
14579,Clothing,119,4,1913
14579,Home,186,3,5130
14579,Home,297,3,4903
14579,Electronics,287,3,3024
45612,Books,397,2,1855
45612,Electronics,383,3,4670
45612,Books,291,1,3414
45612,Electronics,261,5,1109
45612,Clothing,369,1,3037
45612,Home,316,4,1182
45612,Home,48,5,1533
20426,Books,39,2,2027
20426,Books,498,2,403
20426,Clothing,310,5,4031
20426,Home,488,2,4335
43648,Electronics,393,1,4212
43648,Books,353,3,1919
43648,Electronics,438,2,1795
43648,Home,96,2,4158
6460,Books,52,5,1121
6460,Books,346,3,1209
6460,Home,351,3,2629
6460,Clothing,183,1,1051
6460,Clothing,459,4,899
6460,Home,28,5,3411
6460,Books,388,2,4655
6460,Clothing,35,3,3254
6460,Clothing,402,2,4612
6460,Electronics,97,2,2446
6460,Electronics,237,2,901
37543,Clothing,300,5,474
37543,Books,260,3,690
37543,Clothing,226,4,1105
37543,Clothing,86,2,2966
37543,Clothing,303,3,4251
37543,Books,474,3,5023
6501,Books,179,3,2419
6501,Books,305,2,1481
6501,Books,82,4,4209
4919,Electronics,26,3,3705
4919,Electronics,286,3,1830
4919,Electronics,207,3,4176
4919,Electronics,451,5,3266
5538,Electronics,247,1,2373
5538,Books,300,3,1859
5538,Books,398,3,1991
5538,Electronics,111,2,1683
9687,Books,215,2,4057
9687,Home,306,1,945
9687,Home,473,4,2402
9687,Clothing,38,3,2354
9687,Books,305,4,499
33654,Books,379,1,3162
33654,Electronics,257,3,854
45363,Clothing,423,3,2679
45363,Books,84,1,1382
45363,Home,441,2,3740
45363,Clothing,187,2,1531
5737,Clothing,41,2,1625
5737,Clothing,147,2,3836
5737,Clothing,142,5,851
41540,Home,385,4,2869
41540,Electronics,313,1,1404
41540,Clothing,51,2,4216
41540,Clothing,489,5,1499
41540,Clothing,368,4,3581
41540,Home,299,3,2242
41540,Electronics,148,1,1814
31507,Electronics,299,1,1880
31507,Clothing,101,5,1461
31507,Clothing,49,2,5036
31507,Home,103,2,2548
31507,Books,398,1,1211
41334,Clothing,62,4,3590
41334,Home,92,1,3414
